"THge08", "N", "REDET_ε", "RECH_ε", "RESHR_ε", "RESHI_ε"
   -8512356, 1073741824, 1.091104693E+01, 2.125299280E+01, 3.254244350E+01, 3.206297628E+01
   -8511136, 1073741824, 1.112909985E+01, 2.153159828E+01, 3.247404893E+01, 3.293426476E+01
   -8512710, 1073741824, 1.081662219E+01, 2.136339909E+01, 3.148060301E+01, 3.197013899E+01
   -8512639, 1073741824, 1.090342808E+01, 2.136662900E+01, 3.204161367E+01, 3.242396755E+01
   -8516740, 1073741824, 1.080371683E+01, 2.117376798E+01, 3.154090802E+01, 3.244697844E+01
   -8515235, 1073741824, 1.107995772E+01, 2.198159336E+01, 3.224403527E+01, 3.399574670E+01
   -8518865, 1073741824, 1.114775300E+01, 2.152242908E+01, 3.284880546E+01, 3.195249598E+01
   -8515547, 1073741824, 1.103334822E+01, 2.069113758E+01, 3.158364392E+01, 3.178087979E+01
   -8508569, 1073741824, 1.089408049E+01, 2.119520579E+01, 3.241911750E+01, 3.202732300E+01
   -8516147, 1073741824, 1.120389360E+01, 2.186693254E+01, 3.115899754E+01, 3.217684412E+01
   -8510871, 1073741824, 1.113264328E+01, 2.073192957E+01, 3.179461951E+01, 3.197443606E+01
   -8510921, 1073741824, 1.104929024E+01, 2.069920752E+01, 3.067599605E+01, 3.160084565E+01
   -8517035, 1073741824, 1.121322823E+01, 2.106972392E+01, 3.197345092E+01, 3.244700035E+01
   -8517303, 1073741824, 1.143549490E+01, 2.093218748E+01, 3.217621981E+01, 3.190027303E+01
   -8516015, 1073741824, 1.109298607E+01, 2.119145950E+01, 3.325812480E+01, 3.212638318E+01
   -8515066, 1073741824, 1.116231853E+01, 2.112729775E+01, 3.244090572E+01, 3.157671610E+01
   -8517702, 1073741824, 1.138319892E+01, 2.085842419E+01, 3.187810397E+01, 3.080717346E+01
   -8511041, 1073741824, 1.136060822E+01, 2.100537857E+01, 3.263784719E+01, 3.166993498E+01
   -8512863, 1073741824, 1.101980382E+01, 2.090805354E+01, 3.173231598E+01, 3.179043843E+01
   -8510911, 1073741824, 1.117813247E+01, 2.117288924E+01, 3.202610976E+01, 3.280661347E+01
   -8514595, 1073741824, 1.126567660E+01, 2.099083071E+01, 3.245570907E+01, 3.256407689E+01
   -8519605, 1073741824, 1.196682364E+01, 2.119818693E+01, 3.273793682E+01, 3.186578340E+01
   -8515530, 1073741824, 1.097879893E+01, 2.138567562E+01, 3.181596044E+01, 3.283096666E+01
   -8515573, 1073741824, 1.096828675E+01, 2.135417739E+01, 3.181385700E+01, 3.215390080E+01
   -8514043, 1073741824, 1.090489984E+01, 2.154398443E+01, 3.150904704E+01, 3.180211624E+01
   -8512170, 1073741824, 1.097846718E+01, 2.136441862E+01, 3.138609206E+01, 3.224975927E+01
   -8516041, 1073741824, 1.125958270E+01, 2.172638779E+01, 3.257608713E+01, 3.176251658E+01
   -8511589, 1073741824, 1.051675314E+01, 2.171267249E+01, 3.149314832E+01, 3.313938770E+01
   -8517753, 1073741824, 1.099034691E+01, 2.177994549E+01, 3.175393265E+01, 3.199955724E+01
   -8512277, 1073741824, 1.113487934E+01, 2.156660647E+01, 3.229014746E+01, 3.138454049E+01
   -8514579, 1073741824, 1.118657678E+01, 2.102235760E+01, 3.155206369E+01, 3.249003978E+01
