"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESHR_ε", "RESHI_ε"
 1,   -8521586, 1073741824, 1.082685819E+01, 2.136642409E+01, 3.198272050E+01, 3.206393763E+01
 2,   -8517918, 1073741824, 1.084406728E+01, 2.141035530E+01, 3.130057358E+01, 3.202010382E+01
 3,   -8513881, 1073741824, 1.094746763E+01, 2.154116752E+01, 3.259164947E+01, 3.110257543E+01
 4,   -8511912, 1073741824, 1.116701245E+01, 2.148693921E+01, 3.265933909E+01, 3.328528839E+01
 5,   -8511800, 1073741824, 1.097688293E+01, 2.117340757E+01, 3.300388402E+01, 3.352187835E+01
 6,   -8515173, 1073741824, 1.096679240E+01, 2.107088322E+01, 3.255384359E+01, 3.171553962E+01
 7,   -8515269, 1073741824, 1.140977073E+01, 2.175353288E+01, 3.168216984E+01, 3.221464753E+01
 8,   -8513810, 1073741824, 1.088405675E+01, 2.105606569E+01, 3.142584216E+01, 3.167885775E+01
 9,   -8520209, 1073741824, 1.072975159E+01, 2.104091045E+01, 3.224812641E+01, 3.190705507E+01
10,   -8516271, 1073741824, 1.112233639E+01, 2.186480573E+01, 3.275210458E+01, 3.256636516E+01
11,   -8517418, 1073741824, 1.133385181E+01, 2.067595406E+01, 3.105415049E+01, 3.132993076E+01
12,   -8521681, 1073741824, 1.130136871E+01, 2.078054252E+01, 3.237892525E+01, 3.131254562E+01
13,   -8519075, 1073741824, 1.079675317E+01, 2.037008110E+01, 3.093329949E+01, 3.065049849E+01
14,   -8518695, 1073741824, 1.077299172E+01, 2.167412902E+01, 3.281838247E+01, 3.262616856E+01
15,   -8520496, 1073741824, 1.089025402E+01, 2.113172658E+01, 3.227220958E+01, 3.170513723E+01
16,   -8514389, 1073741824, 1.053803529E+01, 2.089824362E+01, 3.123669890E+01, 3.091863674E+01
17,   -8518423, 1073741824, 1.170021224E+01, 2.109476460E+01, 3.090311381E+01, 3.073360823E+01
18,   -8512723, 1073741824, 1.090850401E+01, 2.138663393E+01, 3.157300645E+01, 3.171990580E+01
19,   -8513995, 1073741824, 1.117576605E+01, 2.176430690E+01, 3.163418193E+01, 3.312491397E+01
20,   -8517262, 1073741824, 1.137590855E+01, 2.107307080E+01, 3.306791031E+01, 3.219415522E+01
21,   -8517644, 1073741824, 1.173944998E+01, 2.106448916E+01, 3.253393252E+01, 3.289571812E+01
22,   -8516741, 1073741824, 1.103312778E+01, 2.125495355E+01, 3.298764033E+01, 3.117416652E+01
23,   -8516899, 1073741824, 1.112051636E+01, 2.154118103E+01, 3.171237853E+01, 3.316752369E+01
24,   -8514370, 1073741824, 1.086774767E+01, 2.152870534E+01, 3.201531209E+01, 3.165313574E+01
25,   -8516801, 1073741824, 1.127055001E+01, 2.080484770E+01, 3.252863221E+01, 3.183256352E+01
26,   -8516492, 1073741824, 1.087339259E+01, 2.175873972E+01, 3.168506285E+01, 3.338117052E+01
27,   -8514399, 1073741824, 1.091637778E+01, 2.156231914E+01, 3.238567851E+01, 3.198337547E+01
28,   -8517285, 1073741824, 1.098102675E+01, 2.084648360E+01, 3.238274458E+01, 3.253986750E+01
29,   -8516978, 1073741824, 1.116087174E+01, 2.117593721E+01, 3.240984303E+01, 3.259591974E+01
30,   -8516883, 1073741824, 1.070540667E+01, 2.109163617E+01, 3.190501456E+01, 3.169125144E+01
31,   -8515714, 1073741824, 1.150468159E+01, 2.092217836E+01, 3.049606895E+01, 3.055212863E+01
