"RUN", "THge08", "N", "REDET", "RECH", "RESH"
 1,    3847515, -1073741824, 5.02831146041088253E-016, 1.58569913041009567E-015, 2.44780374319211531E-015
 2,    3846146, -1073741824, 5.00863376423465042E-016, 1.60536799336857030E-015, 2.46558071457504668E-015
 3,    3848893, -1073741824, 5.01487940099195478E-016, 1.61529536277510043E-015, 2.51445971168718209E-015
 4,    3848988, -1073741824, 5.02486997142223777E-016, 1.61341395761920899E-015, 2.51736268165549389E-015
 5,    3846081, -1073741824, 4.99369639554390798E-016, 1.63517089563414990E-015, 2.55627569494868160E-015
 6,    3846665, -1073741824, 4.96937706293635411E-016, 1.60525573840602753E-015, 2.46057701976184452E-015
 7,    3846225, -1073741824, 4.99290429026043183E-016, 1.61328799627299685E-015, 2.45717339556262028E-015
 8,    3849361, -1073741824, 4.99711742616165705E-016, 1.62816257047860639E-015, 2.45924514778070925E-015
 9,    3849361, -1073741824, 4.99711742616165705E-016, 1.62816257047860639E-015, 2.45924514778070925E-015
10,    3846767, -1073741824, 5.00354308753284519E-016, 1.66294652639448057E-015, 2.45811946218538546E-015
11,    3847421, -1073741824, 4.95963277259461793E-016, 1.63085013252691137E-015, 2.41935741197753001E-015
12,    3847730, -1073741824, 4.97315466295806777E-016, 1.57410543953485336E-015, 2.48156466201012290E-015
13,    3844465, -1073741824, 4.97198645809918729E-016, 1.61542624920916884E-015, 2.53943481823828188E-015
14,    3848880, -1073741824, 4.97232273526087532E-016, 1.61944810242401049E-015, 2.47693234697916077E-015
15,    3852190, -1073741824, 5.00007250588649305E-016, 1.61201924369969496E-015, 2.51699793988067702E-015
16,    3848671, -1073741824, 4.95384843677405116E-016, 1.62388889533231156E-015, 2.45408190313921240E-015
17,    3848638, -1073741824, 4.97036960463355096E-016, 1.63510319824003608E-015, 2.42296835629227244E-015
18,    3844683, -1073741824, 5.02853316387194765E-016, 1.64161963295485147E-015, 2.57951690130154258E-015
19,    3846657, -1073741824, 4.98863674406074428E-016, 1.57496687142217779E-015, 2.49037933424821745E-015
20,    3846559, -1073741824, 4.97465911747631132E-016, 1.57365435152371426E-015, 2.43351670016106678E-015
21,    3849446, -1073741824, 5.00130950769871031E-016, 1.56181748716285773E-015, 2.41105770490765740E-015
22,    3846657, -1073741824, 4.96742492277897057E-016, 1.60353644612793291E-015, 2.42500323968467371E-015
23,    3849034, -1073741824, 4.97932800611792719E-016, 1.58438664543548450E-015, 2.49828416019946603E-015
24,    3847442, -1073741824, 4.99483920698283715E-016, 1.63575015516316193E-015, 2.42708475864236239E-015
25,    3845124, -1073741824, 4.97818785490493638E-016, 1.59067687411564590E-015, 2.45090832996062886E-015
26,    3848919, -1073741824, 5.01840923212983054E-016, 1.67967418747175600E-015, 2.40262371912246398E-015
27,    3846674, -1073741824, 4.99488282254351496E-016, 1.59024491911065260E-015, 2.45678555124631263E-015
28,    3850342, -1073741824, 4.99306849646047230E-016, 1.59160941910251891E-015, 2.47475261396483429E-015
29,    3843315, -1073741824, 4.96145549518591863E-016, 1.58458695278738256E-015, 2.40369563749481669E-015
30,    3848966, -1073741824, 4.96197862622153530E-016, 1.60079574287095383E-015, 2.49047906116359601E-015
31,    3848791, -1073741824, 4.95830666210738631E-016, 1.59614848733637094E-015, 2.47348992808199469E-015
