"THge08", "N", "REDET_ε", "RECH_ε", "RESH_ε"
   -3847348, 1073741824, 4.482482910E+00, 1.436055671E+01, 2.207832177E+01
   -3847975, 1073741824, 4.482482910E+00, 1.484394497E+01, 2.324791316E+01
   -3846387, 1073741824, 4.482482910E+00, 1.443895534E+01, 2.197371211E+01
   -3848689, 1073741824, 4.482482910E+00, 1.484189367E+01, 2.210890928E+01
   -3845410, 1073741824, 4.482482910E+00, 1.455636798E+01, 2.185308375E+01
   -3847299, 1073741824, 4.482482910E+00, 1.456109603E+01, 2.247899915E+01
   -3846964, 1073741824, 4.482482910E+00, 1.437841345E+01, 2.272515664E+01
   -3848171, 1073741824, 4.482482910E+00, 1.447157741E+01, 2.205316762E+01
   -3849718, 1073741824, 4.482482910E+00, 1.472834665E+01, 2.264284991E+01
   -3849305, 1073741824, 4.482482910E+00, 1.427842216E+01, 2.300253356E+01
   -3848050, 1073741824, 4.482482910E+00, 1.475807520E+01, 2.298980636E+01
   -3848050, 1073741824, 4.482482910E+00, 1.448622150E+01, 2.235622613E+01
   -3845586, 1073741824, 4.482482910E+00, 1.455584710E+01, 2.356536321E+01
   -3845694, 1073741824, 4.482482910E+00, 1.405831489E+01, 2.184408172E+01
   -3847446, 1073741824, 4.482482910E+00, 1.434781482E+01, 2.167846276E+01
   -3843720, 1073741824, 4.482482910E+00, 1.439799192E+01, 2.201156369E+01
   -3848220, 1073741824, 4.482482910E+00, 1.432693962E+01, 2.171987665E+01
   -3852370, 1073741824, 4.482482910E+00, 1.464319856E+01, 2.312079881E+01
   -3848652, 1073741824, 4.482482910E+00, 1.470463515E+01, 2.331776850E+01
   -3849950, 1073741824, 4.482482910E+00, 1.422390194E+01, 2.272321353E+01
   -3847746, 1073741824, 4.482482910E+00, 1.443435836E+01, 2.231585070E+01
   -3848945, 1073741824, 4.482482910E+00, 1.478515402E+01, 2.237358136E+01
   -3847423, 1073741824, 4.482482910E+00, 1.412422533E+01, 2.260667137E+01
   -3849674, 1073741824, 4.482482910E+00, 1.458096435E+01, 2.310192158E+01
   -3847970, 1073741824, 4.482482910E+00, 1.487180366E+01, 2.276489999E+01
   -3845049, 1073741824, 4.482482910E+00, 1.432093825E+01, 2.271029630E+01
   -3850858, 1073741824, 4.482482910E+00, 1.484012808E+01, 2.234501359E+01
   -3850333, 1073741824, 4.482482910E+00, 1.499692570E+01, 2.178329859E+01
   -3846574, 1073741824, 4.482482910E+00, 1.420889130E+01, 2.211258986E+01
   -3847457, 1073741824, 4.482482910E+00, 1.467516487E+01, 2.230296090E+01
   -3846235, 1073741824, 4.482482910E+00, 1.476965520E+01, 2.345259161E+01
